epoch	train error	test error	
 1.0000e+00	 4.5807e-01	 4.1794e-01	
 2.0000e+00	 3.3616e-01	 2.7708e-01	
 3.0000e+00	 1.4586e-01	 1.2531e-01	
 4.0000e+00	 9.7397e-02	 9.3094e-02	
 5.0000e+00	 8.1637e-02	 1.8881e-02	
 6.0000e+00	 1.6375e-02	 3.7829e-03	
 7.0000e+00	 2.6667e-03	 1.4371e-03	
 8.0000e+00	 2.0098e-03	 1.4738e-03	
 9.0000e+00	 1.8275e-03	 1.7270e-03	
 1.0000e+01	 1.7099e-03	 1.6472e-03	
 1.1000e+01	 1.8475e-03	 1.6143e-03	
 1.2000e+01	 1.7515e-03	 1.5558e-03	
 1.3000e+01	 1.6012e-03	 1.4656e-03	
 1.4000e+01	 1.5744e-03	 1.4092e-03	
 1.5000e+01	 1.5231e-03	 1.3813e-03	
 1.6000e+01	 1.4610e-03	 1.3437e-03	
 1.7000e+01	 1.4554e-03	 1.3165e-03	
 1.8000e+01	 1.4188e-03	 1.2928e-03	
 1.9000e+01	 1.3888e-03	 1.2605e-03	
 2.0000e+01	 1.3591e-03	 1.2334e-03	
 2.1000e+01	 1.3202e-03	 1.2027e-03	
 2.2000e+01	 1.2872e-03	 1.1744e-03	
 2.3000e+01	 1.2473e-03	 1.1470e-03	
 2.4000e+01	 1.2154e-03	 1.1218e-03	
 2.5000e+01	 1.1767e-03	 1.0988e-03	
 2.6000e+01	 1.1531e-03	 1.0796e-03	
 2.7000e+01	 1.1155e-03	 1.0612e-03	
 2.8000e+01	 1.1117e-03	 1.0514e-03	
 2.9000e+01	 1.0705e-03	 1.0363e-03	
 3.0000e+01	 1.1224e-03	 1.0512e-03	
 3.1000e+01	 1.1110e-03	 1.0698e-03	
 3.2000e+01	 1.5246e-03	 1.2929e-03	
 3.3000e+01	 2.4800e-03	 1.9982e-03	
 3.4000e+01	 7.4409e-03	 2.1345e-03	
 3.5000e+01	 1.8075e-02	 1.2234e-03	
 3.6000e+01	 2.5623e-02	 5.4971e-03	
 3.7000e+01	 1.1375e-02	 1.0055e-02	
 3.8000e+01	 2.6524e-03	 1.8746e-03	
 3.9000e+01	 6.5634e-03	 3.4227e-03	
 4.0000e+01	 2.9004e-03	 2.6930e-03	
 4.1000e+01	 2.5845e-03	 1.9945e-03	
 4.2000e+01	 2.4064e-03	 2.1438e-03	
 4.3000e+01	 2.3620e-03	 1.8936e-03	
 4.4000e+01	 2.2326e-03	 1.9478e-03	
 4.5000e+01	 2.0119e-03	 1.8665e-03	
 4.6000e+01	 2.1878e-03	 1.8420e-03	
 4.7000e+01	 2.1167e-03	 1.8649e-03	
 4.8000e+01	 2.0254e-03	 1.8261e-03	
 4.9000e+01	 2.0905e-03	 1.8178e-03	
 5.0000e+01	 2.0713e-03	 1.8192e-03	
 5.1000e+01	 2.0280e-03	 1.8012e-03	
 5.2000e+01	 2.0416e-03	 1.7898e-03	
 5.3000e+01	 2.0333e-03	 1.7829e-03	
 5.4000e+01	 2.0077e-03	 1.7688e-03	
 5.5000e+01	 2.0026e-03	 1.7552e-03	
 5.6000e+01	 1.9914e-03	 1.7432e-03	
 5.7000e+01	 1.9708e-03	 1.7278e-03	
 5.8000e+01	 1.9570e-03	 1.7115e-03	
 5.9000e+01	 1.9403e-03	 1.6950e-03	
 6.0000e+01	 1.9185e-03	 1.6762e-03	
 6.1000e+01	 1.8981e-03	 1.6558e-03	
 6.2000e+01	 1.8750e-03	 1.6343e-03	
 6.3000e+01	 1.8484e-03	 1.6104e-03	
 6.4000e+01	 1.8206e-03	 1.5845e-03	
 6.5000e+01	 1.7895e-03	 1.5564e-03	
 6.6000e+01	 1.7551e-03	 1.5257e-03	
 6.7000e+01	 1.7177e-03	 1.4924e-03	
 6.8000e+01	 1.6765e-03	 1.4564e-03	
